epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,757.202,1.65038,3.32464,1.45748,0.37705,0.20927,0.18795,0.11062,1.61734,3.0032,1.41726,0.00019089,0.00019089,0.00019089
2,1241.61,1.53751,2.20764,1.34812,0.19827,0.40566,0.21617,0.11789,1.65417,4.91116,1.51155,0.000387,0.000387,0.000387
3,2085.84,1.52552,1.99062,1.36417,0.08296,0.41483,0.11511,0.04423,1.87637,13.478,1.67363,0.000579151,0.000579151,0.000579151
4,3118.68,1.5893,1.90118,1.42636,0.25708,0.23192,0.08609,0.04065,1.91656,6.74203,1.56868,0.000767342,0.000767342,0.000767342
5,4304.94,1.55703,1.73125,1.36812,0.34831,0.2267,0.22668,0.12331,1.76583,4.29541,1.73794,0.000873004,0.000873004,0.000873004
6,4709.28,1.58388,1.73125,1.43285,0.24738,0.38067,0.21801,0.0941,1.79709,8.19389,1.67385,0.000864004,0.000864004,0.000864004
7,5026.74,1.54973,1.56352,1.37077,0.32673,0.39211,0.29285,0.14982,1.73311,3.70925,1.56854,0.000855005,0.000855005,0.000855005
8,5346.19,1.55365,1.51073,1.40876,0.40168,0.39178,0.32859,0.16464,1.82315,2.3191,1.7076,0.000846006,0.000846006,0.000846006
9,5667.29,1.52457,1.4543,1.37323,0.40264,0.35078,0.32071,0.16528,1.80085,2.64195,1.65913,0.000837007,0.000837007,0.000837007
10,5990.32,1.51418,1.39145,1.37113,0.57113,0.48564,0.46939,0.24435,1.70077,2.07969,1.56443,0.000828008,0.000828008,0.000828008
11,6322.19,1.48537,1.34023,1.35247,0.58775,0.7023,0.56539,0.25635,1.65511,1.44671,1.50543,0.000819009,0.000819009,0.000819009
12,6649.1,1.43009,1.33055,1.32896,0.65528,0.46855,0.54801,0.28078,1.70016,1.42022,1.46016,0.00081001,0.00081001,0.00081001
13,6974.75,1.43607,1.26353,1.30889,0.74441,0.46427,0.53069,0.27065,1.68807,1.43177,1.48464,0.000801011,0.000801011,0.000801011
14,7301.5,1.40357,1.23312,1.30695,0.65328,0.54602,0.58801,0.26636,1.69719,1.36781,1.51162,0.000792012,0.000792012,0.000792012
15,7629.66,1.43268,1.22779,1.33882,0.54549,0.58425,0.53543,0.24628,1.70558,1.67977,1.49081,0.000783013,0.000783013,0.000783013
16,7957.62,1.36097,1.18328,1.29192,0.57989,0.62583,0.55586,0.28572,1.65763,1.42367,1.49864,0.000774013,0.000774013,0.000774013
17,8285.4,1.34622,1.07542,1.25015,0.54204,0.52053,0.53724,0.26998,1.70557,1.47021,1.52576,0.000765014,0.000765014,0.000765014
18,8613.09,1.39316,1.12814,1.29093,0.63163,0.59948,0.61618,0.29135,1.71949,1.45138,1.57172,0.000756015,0.000756015,0.000756015
19,8942.76,1.33959,1.08383,1.26894,0.72224,0.53377,0.65759,0.32042,1.68533,1.44158,1.5377,0.000747016,0.000747016,0.000747016
20,9273.34,1.33677,1.07626,1.23957,0.57623,0.65017,0.66908,0.32078,1.65475,1.22493,1.49813,0.000738017,0.000738017,0.000738017
21,9605.9,1.31431,1.05338,1.27863,0.67686,0.50937,0.61558,0.30299,1.77328,1.42565,1.54554,0.000729018,0.000729018,0.000729018
22,9938.51,1.3038,1.00658,1.23675,0.64851,0.60354,0.61752,0.31513,1.64503,1.30063,1.4822,0.000720019,0.000720019,0.000720019
23,10268.7,1.2982,0.96325,1.25226,0.61654,0.5591,0.60368,0.3089,1.70969,1.37808,1.56186,0.00071102,0.00071102,0.00071102
24,10629.8,1.2785,0.93151,1.235,0.60006,0.60922,0.5866,0.30633,1.69932,1.34557,1.52392,0.000702021,0.000702021,0.000702021
25,11304.5,1.29629,1.01898,1.21915,0.71943,0.53215,0.67412,0.34635,1.63307,1.21032,1.47715,0.000693022,0.000693022,0.000693022
26,11640.8,1.25673,0.92311,1.19866,0.63017,0.47799,0.54741,0.2845,1.70883,1.32842,1.55497,0.000684022,0.000684022,0.000684022
27,11966.1,1.20928,0.95508,1.20597,0.65609,0.55111,0.61667,0.32716,1.66644,1.20689,1.48151,0.000675023,0.000675023,0.000675023
28,12293.8,1.2055,0.92303,1.2061,0.66558,0.50711,0.56161,0.28667,1.70438,1.19538,1.504,0.000666024,0.000666024,0.000666024
